vehicle_type,depth,width,height,tonnage
407 TEMPO,9.8,6.4,7,2.5 Ton
14 FT LPT TEMPO,13.6,6.9,7.5,4 Ton
18 Feet Truck ,18.1,7.3,7.5,9 Ton
19 Feet Truck ,19.1,7.3,8.2,7 Ton
20 Feet Container ,19.9,8.1,8.2,7 Ton
22 Feet Container ,22,7.5,7.5,7 Ton
24 Feet Container ,23.7,7.8,8.1,7 Ton
22-24 Feet Taurus Truck ,24.4,7.5,6.9,15 Ton
28 Feet Taurus Truck ,28.2,7.5,7.3,20 Ton
32 Feet Container ,32,8.3,9,7 Ton
32 Feet Container ,32.1,8.5,9.8,7 Ton
32 Feet Container ,33.2,8.4,10.4,7 Ton
32 Feet Container ,32.1,8.5,10.4,9 Ton
34 Feet Container ,33.9,8.8,10.5,7 Ton
32 Feet Container ,32,8.3,8.2,14 Ton
40 Feet Trailor,40,7.8,8.4,20 Ton